of_ratio,chamber_pressure_bar,chamber_temperature,gamma,molecular_weight,gas_constant,density,cp_mass,cv_mass,sound_speed,viscosity,thermal_conductivity,prandtl,mole_fraction_co2,mole_fraction_h2o,mole_fraction_co,mole_fraction_h2,mole_fraction_o2,exit_mach,exit_pressure_bar,exit_temperature,exit_velocity,thrust_coefficient,thrust_coefficient_vacuum,characteristic_velocity,specific_impulse,specific_impulse_vacuum,ambient_pressure_bar,nozzle_area_ratio
2.5,20.0,3207.5545415396987,1.2178321686557918,18.178210604466283,457.38619708313996,1.3632417915711101,2557.1045256734437,2099.7183285903034,1336.6640661260437,9.215230272792738e-05,0.42419912815970545,0.5555010718176105,0.06118880568005714,0.4011382460709865,0.2625416442360797,0.22054762241322692,0.0012441435475979297,3.6247456805540006,0.13938024843594313,1319.4249589375675,3107.457063494142,1.0271849800155466,1.7771849800155464,1857.8049483038908,194.59339720458217,336.6759341797896,1.0,15.0
2.5500000000000003,20.0,3237.7440177661174,1.216519772690105,18.372597275218258,452.5469368105152,1.364972357676068,2542.6421331426536,2090.0951963321386,1335.096494725583,9.307002789261622e-05,0.42378056352592997,0.558411108531287,0.06417270180662442,0.4078834636298405,0.2584110702733328,0.20902589857425186,0.0017079894942967305,3.619909506842059,0.1399456159701138,1338.6797026894312,3107.61675277428,1.0281103041472395,1.7781103041472395,1857.3437672891134,194.7203444084973,336.7676108518633,1.0,15.0
2.6,20.0,3265.1153883682296,1.2153170558235864,18.561901647549245,447.9316169230436,1.3674760978893983,2528.266661491195,2080.3350445681513,1333.2141741465086,9.392500430167298e-05,0.42308476610202933,0.5612763117050408,0.06718303329218493,0.4139353642536777,0.25419797469273303,0.19811383235138555,0.0022909188355240044,3.6154848231285204,0.14046584273816023,1356.3486432140328,3106.7253906119267,1.0289609576428502,1.7789609576428502,1856.3001331525443,194.77195195925137,336.7394026039066,1.0,15.0
2.6500000000000004,20.0,3289.824942599593,1.2142161501169075,18.74618429341952,443.5282662334579,1.3706794570369605,2513.9989846709077,2070.4707184374497,1331.0520800260833,9.471961993939166e-05,0.42213627602554105,0.5640951557113687,0.07020454533861788,0.4193203273692917,0.24992094820777191,0.18781458396410758,0.0030072335649914076,3.6114408231083015,0.1409438064520686,1372.500274127602,3104.883981672445,1.0297418402044598,1.7797418402044598,1854.7317490658413,194.75507786743648,336.60258051098765,1.0,15.0
2.7,20.0,3312.037585819862,1.2132094311556252,18.925535208865128,439.3250984129932,1.3745125959679207,2499.858237269887,2060.533138856894,1328.6436758064424,9.545649750694566e-05,0.42096020636756226,0.5668652475557565,0.07322257939379126,0.4240711825679717,0.2455982997630631,0.1781223064389224,0.0038694105537639607,3.607747924175273,0.14138236896443307,1387.21155294209,3102.190262895239,1.030457793125239,1.780457793125239,1852.6942940320903,194.67639546267384,336.3680761613903,1.0,15.0
2.75,20.0,3331.923806172552,1.212289535482178,19.10007132067488,435.31055348224004,1.3789094186163777,2485.8617146287784,2050.5511611465386,1326.0207099218635,9.613846243790262e-05,0.4195817454857171,0.569583700074946,0.07622350177461222,0.4282255758017204,0.24124756582416074,0.1690233291669379,0.004887631753459605,3.6043777870417584,0.14178435747774232,1400.5659248363102,3098.7380058534536,1.031113572472959,1.781113572472959,1850.2410429493407,194.54234134302624,336.0464005489738,1.0,15.0
2.8000000000000003,20.0,3349.6562358155506,1.2114493973184772,19.269932506802952,431.4733647986545,1.3838077706762797,2472.0247698650187,2040.5514050663642,1323.2129861074175,9.676849306812079e-05,0.41802563024713774,0.5722474759872547,0.07919502146893603,0.43182429335584965,0.23688511097817075,0.1604975933080279,0.006069510128580725,3.601303410257942,0.14215253814917533,1412.651061818893,3094.6162183626057,1.0317138096343506,1.7817138096343506,1847.4224319085552,194.3590558680418,335.6475513207618,1.0,15.0
2.85,20.0,3365.4062143217966,1.2106822926533536,19.435276686126922,427.802637051634,1.3891496889739983,2458.3607426420253,2030.5581055903913,1320.248157499859,9.734966098380346e-05,0.4163156576633996,0.5748536728483762,0.08212638655264087,0.43490968863947466,0.23252584116558905,0.1525201807808574,0.007420009933583948,3.59849925530646,0.14248958719552526,1423.5565613960882,3089.9083982751345,1.032262967573835,1.782262967573835,1844.2856549878622,194.13232686713863,335.1809256486692,1.0,15.0
2.9000000000000004,20.0,3379.340688326815,1.2099818807865634,19.596274567814213,424.28792214461424,1.3948816113612679,2444.880939767324,2020.5930176227096,1317.1515787712833,9.788506935378423e-05,0.41447428204583825,0.5773997343565039,0.08500846608881231,0.4375243159559437,0.2281830328875718,0.14506279933610217,0.008941534546019762,3.595941365799537,0.14279806384364285,1433.3718145347038,3084.691948611665,1.0327652998781,1.7827652998781003,1840.874353410929,193.86754433352283,334.65525115065174,1.0,15.0
2.95,20.0,3391.6196653254783,1.209342236632869,19.753104567869077,420.9192833251015,1.4009544938504317,2431.594673515387,2010.675390190286,1313.946232557097,9.837779549795373e-05,0.4125223216660615,0.5798835868054087,0.0878337362046914,0.4397098280264066,0.2238682675731279,0.13809512311557479,0.01063414044661161,3.5936074562856977,0.14308038812094978,1442.1841882511828,3079.03781153002,1.0332248174362486,1.7832248174362486,1837.2284284951597,193.56967033804588,334.0785414990815,1.0,15.0
3.0,20.0,3402.394319156913,1.208757870427483,19.90594825552816,417.68734206591733,1.4073238146287157,2418.5093528030447,2000.8220107371274,1310.6527312179649,9.883084180435076e-05,0.41047877871279803,0.5823037088513149,0.09059619459876724,0.44150615143246086,0.2195914516932342,0.1315859294331677,0.012495831923219389,3.5914769584253925,0.14333882502061568,1450.0775969008316,3073.010332690119,1.0336452652253674,1.7836452652253674,1833.3839839087962,193.24322518977922,333.45807816521904,1.0,15.0
3.0500000000000003,20.0,3411.8057458770318,1.2082237342278748,20.054986535618763,414.58330592176145,1.4139494687859655,2405.630615965928,1991.0473100441666,1307.2893845915755,9.924709700695909e-05,0.4083607620136309,0.5846591477800008,0.09329122807268193,0.44295092264663816,0.21536089998203664,0.12550400934542985,0.014522894977502854,3.5895310222997248,0.14357547534020684,1457.1314748751092,3066.6673346038388,1.0340301096689537,1.7840301096689537,1829.3733843625407,192.8922885244057,332.80041599626463,1.0,15.0
3.1000000000000005,20.0,3419.9843021839692,1.207735216479188,20.200396638378074,411.59897832683464,1.4207955720416459,2392.96249147036,1981.3635131435253,1303.8723189992036,9.962930814887662e-05,0.406183494024682,0.5869494968619207,0.0959154546310345,0.44407914845583435,0.2111834599405819,0.11981885720327692,0.016710237240776218,3.5877524773558402,0.1437922726317964,1463.4201199046759,3060.060358995792,1.034382535648456,1.784382535648456,1825.22540767193,192.52051264373438,332.1114081844081,1.0,15.0
3.1500000000000004,20.0,3427.0494236961317,1.2072881269175415,20.342349890625442,408.7267529492683,1.427830197915052,2380.507573332956,1971.7808203836878,1300.4156313829553,9.998006241406026e-05,0.4039603809113732,0.5891748473501631,0.09846655704177686,0.44492304666336185,0.20706465900968463,0.11450116180526129,0.019051710411920927,3.5861257610732107,0.1439909852227415,1469.0123513589638,3053.2350317541295,1.0347054514828373,1.7847054514828373,1820.9654637643107,192.13114491889743,331.3962454193979,1.0,15.0
3.2,20.0,3433.1098103874187,1.206878674412619,20.48101018268335,405.9595959374651,1.4350250731123582,2368.267200092835,1962.3076041553697,1296.9315636839858,0.00010030177738176924,0.4017031254754525,0.5913357263603699,0.10094311984836474,0.4455120228853696,0.20300885997967585,0.1095231303749914,0.021540400762312513,3.584636824558906,0.14417322209545227,1473.9714185199898,3046.23150594378,1.0350014999237926,1.7850014999237926,1816.615855493307,191.72705615280617,330.6595041977532,1.0,15.0
